MiesiÄ…c,PmGdaLeczkow,PmGdaPowWars,PmGdaWyzwole,PmGdyPorebsk,PmSopBiPlowc
1,451.04737,469.66133,399.95148,483.60928,438.90418
2,462.71509,513.69827,425.24588,507.57385,461.57953
3,354.68285,421.63013,347.78427,373.24189,290.88073
4,292.28453,320.54189,309.22809,230.16077,279.70435
5,250.79422,254.36205,280.66767,216.10041,292.67916
6,199.75474,246.99303,285.40146,200.65479,316.44439
7,206.46026,260.68631,329.46565,207.20938,309.92454
8,255.28528,288.02693,270.90545,205.63096,321.97233
9,256.71376,311.10821,264.07401,229.17633,228.32559
10,329.69442,358.09373,367.66428,301.96709,178.11094
11,293.98955,340.22340,325.90094,364.64871,321.10781
12,367.51526,409.94390,385.22036,441.10170,399.80716
